,trial,t,t_last_visible,d_last_visible,abs_angle_last_visible,hit_boundary,num_stops,num_stops_near_target,n_ff_in_a_row
0,1,2.5,1.5,194.05114324753717,0.26288584389770875,False,2,2,1
1,2,0.0,1.75,189.4109563465539,0.26288584389770875,False,0,0,1
2,3,2.0,1.0,174.9840596008604,0.17435293291288928,False,1,1,2
3,4,0.5,1.5,136.88863527637062,0.007600086673398815,False,0,0,1
4,5,2.0,9999.0,9999.0,9999.0,False,1,1,2
5,6,1.0,1.5,75.17381287550728,0.14721821103545008,False,0,0,1
6,7,2.75,1.5,236.50951519782703,0.19036674613058627,False,2,2,1
7,8,3.5,1.5,135.03489646814452,0.4945409311054696,False,1,1,1
8,9,3.25,0.5,169.69680988823902,0.06393603763475683,False,3,1,1
9,10,1.5,1.0,73.68198258888295,0.0,False,2,2,1
10,11,0.0,1.0,253.48821373345962,0.0,False,0,0,1
11,12,3.5,1.0,286.6693500734585,0.02838083712156629,False,3,3,2
12,13,3.25,1.0,44.981469235958706,0.0,False,1,1,1
13,14,2.5,1.5,188.66856539454528,0.30531157221029515,False,2,2,1
14,15,2.25,0.5,15.940560667199739,0.0,False,2,1,1
15,16,3.75,2.0,231.96871456616176,0.0,False,3,2,1
16,17,1.5,1.5,197.8313848791115,0.2171990787671498,False,2,2,1
17,18,1.5,1.0,46.41236250439021,0.0,False,2,2,1
18,19,2.0,1.5,156.9845631760862,0.0,False,2,2,1
19,20,3.75,1.0,188.5344516280503,0.2551463889094535,False,3,3,1
20,21,0.0,1.5,85.7457135873509,0.1892773258914925,False,0,0,1
21,22,1.5,1.5,182.56208050919048,0.3401277759729473,False,2,2,2
22,23,0.0,1.5,154.14436236917234,0.3712433522604424,False,0,0,1
23,24,4.25,2.0,221.65655003978048,0.5184437865663497,False,3,2,2
24,25,1.5,1.5,190.0246362476258,0.008976307957661939,False,2,2,1
25,26,2.0,1.0,45.339977598899615,0.0,False,1,1,1
26,27,2.25,1.25,284.73759930465076,0.46741897679613853,False,1,1,1
27,28,2.25,1.75,207.7575199497174,0.31542236670390966,False,1,1,1
28,29,0.5,1.0,90.18561875788768,0.03356385290131142,False,0,0,1
29,30,0.0,1.5,94.98969575289743,0.0,False,0,0,2
30,31,2.5,2.0,268.71030065766246,0.37538523298045473,False,1,1,3
31,32,1.0,9999.0,9999.0,9999.0,False,0,0,1
32,33,0.5,1.75,385.94899507743236,0.21675824218069165,False,0,0,1
33,34,4.0,1.5,138.04002706463388,0.2158613111185885,False,3,3,2
34,35,2.0,1.0,67.51555587551593,0.14123197692572342,False,1,1,1
35,36,2.5,2.5,303.19629033777176,0.5464480196482303,False,1,1,1
36,37,1.0,1.0,213.4776214693251,0.41752679316678104,False,0,0,1
37,38,3.25,2.0,299.0637799780163,0.233577791659053,False,2,2,1
38,39,1.0,1.5,351.1776259660847,0.3828458782802341,False,0,0,1
39,40,2.25,1.5,306.0199392831602,0.3391325342010507,False,4,3,1
40,41,3.0,2.0,259.8888980237386,0.3865094652338729,False,2,2,1
41,42,1.75,1.5,293.5926009474121,0.5109075222943992,False,1,1,1
42,43,1.25,1.5,135.42081430461533,0.45563062265088733,False,0,0,1
43,44,0.5,9999.0,9999.0,9999.0,False,0,0,1
44,45,0.5,1.5,92.71440460996293,0.25124664169212974,False,0,0,2
45,46,1.0,1.5,150.10820416610292,0.0,False,0,0,3
46,47,2.0,1.5,224.47431195366738,0.06248738750847105,False,3,3,1
47,48,1.75,1.5,251.7403830237895,0.37053571905000005,False,3,3,1
48,49,2.0,1.5,292.3665166503446,0.2289299428382871,False,2,2,1
49,50,1.5,1.5,148.73405789632147,0.0905122256677374,False,1,1,1
50,51,2.75,1.0,372.65191993032875,0.44723649820359673,False,2,2,1
51,52,0.5,1.5,394.38277954625994,0.46899067909330394,False,0,0,1
52,53,2.0,2.0,208.75674760680783,0.4045340847460687,False,3,2,2
53,54,2.0,1.5,125.90917562078326,0.3732894849353354,False,2,2,1
54,55,2.25,1.5,119.81367672591254,0.48421176794470216,False,3,3,1
55,56,0.0,1.5,119.81367672591254,0.48421176794470216,False,0,0,1
56,57,1.5,1.5,196.52403147852596,0.1233590310588421,False,2,2,2
