#{"t_start": 1676235823.116617, "env_id": null}
r,l,t
100,1024,197.392905
100,1024,198.988766
0,1024,200.862889
200,1024,202.581567
0,1024,204.039864
0,1024,205.474642
100,1024,206.937835
0,1024,208.376364
0,1024,209.847404
200,1024,212.918686
100,1024,219.741034
300,1024,226.530772
100,1024,233.375861
0,1024,240.529347
100,1024,246.862583
100,1024,254.171625
100,1024,260.366656
200,1024,267.658603
200,1024,273.911819
300,1024,281.365513
900,1024,287.980682
1100,1024,295.319121
200,1024,301.524773
100,1024,308.799131
100,1024,315.149774
0,1024,322.424597
0,1024,328.587216
400,1024,335.88747
1000,1024,342.115803
1300,1024,349.453751
1300,1024,355.701317
700,1024,362.968525
400,1024,369.157592
300,1024,376.445243
500,1024,382.669474
400,1024,389.945429
700,1024,396.492952
400,1024,403.655061
700,1024,410.400407
1100,1024,417.469965
1900,1024,425.178941
2600,1024,431.705115
1400,1024,439.023781
1300,1024,445.318439
1500,1024,452.640993
1100,1024,458.985857
1500,1024,466.512915
3000,1024,473.083483
3000,1024,480.561978
1900,1024,486.840203
2800,1024,494.372184
2900,1024,500.66769
2200,1024,508.147554
1600,1024,515.922455
1900,1024,523.343206
1900,1024,530.476707
2500,1024,537.477363
3600,1024,545.176538
2600,1024,552.101632
2900,1024,560.025882
2300,1024,566.469233
2800,1024,574.158624
2000,1024,580.556304
2400,1024,588.216139
2200,1024,594.686075
1200,1024,602.200342
1100,1024,608.936442
1400,1024,616.205007
1800,1024,623.326252
2800,1024,630.264357
1100,1024,637.715943
1000,1024,644.152476
2800,1024,651.874675
900,1024,658.319056
700,1024,665.791777
1300,1024,672.256813
1800,1024,679.869452
3000,1024,686.378814
900,1024,694.428618
2300,1024,700.995392
1700,1024,708.608493
1700,1024,715.531119
2500,1024,722.63748
1000,1024,729.985357
1300,1024,736.504305
1900,1024,743.989985
800,1024,750.210086
1000,1024,757.518768
1600,1024,763.93265
1800,1024,771.301691
600,1024,777.714532
3100,1024,785.199877
1300,1024,792.015633
1700,1024,798.985819
1000,1024,806.164091
1800,1024,812.693618
2000,1024,820.144041
2500,1024,826.79968
1900,1024,834.399027
2700,1024,840.77992
600,1024,847.911672
2100,1024,854.386543
3600,1024,861.838755
1900,1024,869.153604
3800,1024,875.941778
1100,1024,883.198003
1500,1024,889.561745
1500,1024,897.049844
2000,1024,903.459001
2600,1024,910.843296
3000,1024,917.355414
2400,1024,924.822772
2900,1024,932.077489
3000,1024,938.761073
3000,1024,946.12791
1900,1024,952.663453
4000,1024,960.181634
1800,1024,966.809516
2000,1024,974.381102
3700,1024,981.128682
2500,1024,988.49311
3500,1024,995.89235
2000,1024,1002.574858
3100,1024,1010.13594
1600,1024,1016.571546
3000,1024,1023.991773
1500,1024,1030.381353
3000,1024,1037.813674
1200,1024,1044.127732
1900,1024,1051.343625
2900,1024,1058.366431
3400,1024,1065.276416
3000,1024,1072.677924
2600,1024,1079.200061
2400,1024,1086.532803
1000,1024,1092.860524
2300,1024,1100.411833
2500,1024,1107.350607
1900,1024,1114.678731
